admin,Low Stock Alert: The following items need restocking: Milk,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Milk,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Sugar,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Sugar,2024-11-23 22:14:29
admin,"Low Stock Alert: The following items need restocking: Milk, Sugar",2024-11-23 22:14:29
admin,"Low Stock Alert: The following items need restocking: Milk, Sugar",2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Sugar,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Sugar,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,No notification,2024-11-23 22:14:29
admin,No notification,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Cups,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,No notifications,2024-11-23 22:14:29
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-23 22:16:00
admin,No notifications,2024-11-23 22:23:17
admin,Low Stock Alert: The following items need restocking: Coffee beans,2024-11-23 22:35:49
admin,No notifications,2024-11-23 22:42:40
Syaai,Order #6914 status updated to **Done**.,2024-11-23 23:38:18
admin,"Low Stock Alert: The following items need restocking: Coffee beans, Milk, Sugar, Cups",2024-11-24 00:17:17
admin,Low Stock Alert: The following items need restocking: Coffee beans,2024-11-24 01:29:55
siti,Order #6866 status updated to **Ready for Pickup**.,2024-11-24 03:28:13
admin,No notifications,2024-11-24 03:28:36
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:37:16
admin,No notifications,2024-11-24 03:44:08
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:47:05
admin,No notifications,2024-11-24 03:47:34
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:47:37
admin,No notifications,2024-11-24 03:48:43
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:48:44
admin,No notifications,2024-11-24 03:56:04
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:56:06
admin,No notifications,2024-11-24 03:56:46
admin,Low Stock Alert: The following items need restocking: Coffee_beans,2024-11-24 03:56:47
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Sugar",2024-11-24 03:57:11
admin,No notifications,2024-11-24 03:57:22
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Sugar",2024-11-24 03:57:29
admin,No notifications,2024-11-24 03:57:39
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Sugar",2024-11-24 03:57:42
admin,No notifications,2024-11-24 03:57:47
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Sugar",2024-11-24 03:57:53
admin,No notifications,2024-11-24 03:58:13
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 03:58:16
admin,No notifications,2024-11-24 03:58:50
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 03:58:53
admin,No notifications,2024-11-24 03:58:57
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 03:59:00
admin,No notifications,2024-11-24 03:59:56
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 03:59:59
admin,No notifications,2024-11-24 04:00:09
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 04:00:15
admin,No notifications,2024-11-24 04:00:52
admin,"Low Stock Alert: The following items need restocking: Coffee_beans, Milk, Sugar",2024-11-24 04:00:55
admin,No notifications,2024-11-24 04:02:47
chop,Order #7934 status updated to **Ready for Pickup**.,2024-11-24 12:45:48
